Step,Timestamp,Temperature,Precipitation_log,Humidity,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos
48,2024-09-18 06:00:00,17.560625,0.0125995185,63.329292,1.5386333,7611.644,17.812885,-0.23227572,-0.07782614
49,2024-09-18 07:00:00,16.55079,0.012292308,65.5975,1.5908395,7608.506,16.771564,-0.30212528,0.059695005
50,2024-09-18 08:00:00,15.671409,0.01203221,67.65779,1.6290509,7605.0317,15.874226,-0.35309863,0.17101526
51,2024-09-18 09:00:00,14.975648,0.0118299555,69.379875,1.6500248,7601.2593,15.173808,-0.3816415,0.24931717
52,2024-09-18 10:00:00,14.503174,0.0116928145,70.65748,1.652186,7597.1924,14.709135,-0.38598245,0.29008865
53,2024-09-18 11:00:00,14.279422,0.011623331,71.41032,1.6358099,7592.7876,14.504515,-0.366139,0.29122496
54,2024-09-18 12:00:00,14.315859,0.011618882,71.58517,1.6028818,7587.9683,14.570186,-0.32377744,0.25297546
55,2024-09-18 13:00:00,14.6097,0.011671419,71.15495,1.5566776,7582.621,14.9022455,-0.2619666,0.17767
56,2024-09-18 14:00:00,15.146752,0.011770263,70.12854,1.5014558,7576.7505,15.484582,-0.1849438,0.07010698
57,2024-09-18 15:00:00,15.89836,0.011901712,68.54693,1.44183,7570.3745,16.286627,-0.09781253,-0.06309718
58,2024-09-18 16:00:00,16.822508,0.012050669,66.48826,1.3822845,7563.611,17.263819,-0.006229639,-0.21357787
59,2024-09-18 17:00:00,17.864256,0.012201996,64.068306,1.3267688,7556.676,18.357958,0.08390665,-0.37158704
60,2024-09-18 18:00:00,18.95755,0.012341908,61.437057,1.2784271,7549.858,19.499123,0.16679204,-0.52653044
61,2024-09-18 19:00:00,20.028744,0.012458962,58.77051,1.2395058,7543.475,20.60948,0.23704946,-0.66767085
62,2024-09-18 20:00:00,21.001911,0.012544679,56.25737,1.2114464,7537.8125,21.60909,0.2900437,-0.78493226
63,2024-09-18 21:00:00,21.805243,0.012593567,54.08237,1.19512,7533.07,22.422937,0.32215488,-0.86970973
64,2024-09-18 22:00:00,22.377768,0.012602616,52.40831,1.1911047,7529.3213,22.988243,0.33100462,-0.9155851
65,2024-09-18 23:00:00,22.675255,0.012570572,51.359688,1.1998726,7526.503,23.260796,0.31562293,-0.91887283
66,2024-09-19 00:00:00,22.67457,0.012497206,51.010277,1.2217801,7524.4297,23.219448,0.27657688,-0.87895834
67,2024-09-19 01:00:00,22.380049,0.0121871615,51.450027,1.2697425,7522.545,22.892532,0.22544897,-0.7827816
68,2024-09-19 02:00:00,21.77586,0.011864029,52.58972,1.32202,7521.3174,22.233923,0.1542654,-0.65457577
69,2024-09-19 03:00:00,20.932535,0.011544931,54.28915,1.3821,7520.382,21.326406,0.06757927,-0.5029978
70,2024-09-19 04:00:00,19.925636,0.011230803,56.40755,1.4484553,7519.3447,20.256247,-0.027142286,-0.33742273
71,2024-09-19 05:00:00,18.832449,0.0109257735,58.787926,1.5169014,7517.9785,19.107615,-0.12209749,-0.16852719
72,2024-09-19 06:00:00,17.730673,0.010638841,61.263535,1.5819998,7516.2036,17.962215,-0.20980501,-0.007381618
