Step,Timestamp,Temperature,Precipitation_log,Humidity,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos
1,2024-09-16 07:00:00,8.326057,0.0121736005,81.48714,2.013727,7903.0513,8.479305,-0.5988523,0.5494263
2,2024-09-16 08:00:00,8.481188,0.012595758,81.46469,1.7513958,7896.7637,8.510629,-0.54682875,0.4232223
3,2024-09-16 09:00:00,8.661992,0.013246271,81.77389,1.5405707,7889.745,8.622347,-0.50234973,0.3296578
4,2024-09-16 10:00:00,8.922056,0.013857931,82.09656,1.386301,7882.0073,8.863332,-0.45475173,0.25703955
5,2024-09-16 11:00:00,9.300349,0.014382937,82.19072,1.2724584,7873.9785,9.258532,-0.39942855,0.18792677
6,2024-09-16 12:00:00,9.836154,0.014836747,81.91306,1.1849567,7865.5796,9.834916,-0.33422977,0.11023569
7,2024-09-16 13:00:00,10.548917,0.015238504,81.17015,1.1138908,7856.9194,10.6035795,-0.25890082,0.01663661
8,2024-09-16 14:00:00,11.441589,0.015603505,79.91708,1.0533755,7847.967,11.562097,-0.1749419,-0.09582746
9,2024-09-16 15:00:00,12.502114,0.015939325,78.166595,1.001043,7838.65,12.693733,-0.08533621,-0.22539169
10,2024-09-16 16:00:00,13.697581,0.01624441,75.96565,0.95631164,7829.083,13.962361,0.005866766,-0.3676355
11,2024-09-16 17:00:00,14.980817,0.016512219,73.410614,0.9197524,7819.4536,15.316968,0.093970776,-0.51532155
12,2024-09-16 18:00:00,16.291712,0.016735679,70.636116,0.89217716,7810.0576,16.693428,0.17403841,-0.6596646
13,2024-09-16 19:00:00,17.563528,0.01691058,67.815315,0.8744836,7801.0566,18.020555,0.24127424,-0.7907445
14,2024-09-16 20:00:00,18.722841,0.017031634,65.13115,0.8671128,7792.8,19.220934,0.29145503,-0.8990915
15,2024-09-16 21:00:00,19.700392,0.017098386,62.765305,0.8701105,7785.4956,20.222288,0.321226,-0.976611
16,2024-09-16 22:00:00,20.437176,0.017111508,60.88246,0.88350326,7779.2456,20.96362,0.32836258,-1.0169785
17,2024-09-16 23:00:00,20.890244,0.017073572,59.611378,0.9074236,7774.008,21.401878,0.3119439,-1.0164033
18,2024-09-17 00:00:00,21.037212,0.016987972,59.03172,0.94209915,7769.604,21.516607,0.27249956,-0.9740062
19,2024-09-17 01:00:00,20.743687,0.016763497,59.351543,1.0130874,7764.675,21.180965,0.19932842,-0.8811197
20,2024-09-17 02:00:00,20.216717,0.016458927,60.21076,1.0912436,7760.563,20.6113,0.11733711,-0.76013637
21,2024-09-17 03:00:00,19.497103,0.01613921,61.565224,1.1682264,7757.077,19.84389,0.028419256,-0.6187211
22,2024-09-17 04:00:00,18.62972,0.015818194,63.33172,1.2434205,7753.6646,18.927282,-0.064126134,-0.4641186
23,2024-09-17 05:00:00,17.675236,0.0155009,65.379196,1.3156406,7749.9487,17.927628,-0.15498233,-0.30544013
24,2024-09-17 06:00:00,16.70373,0.015195953,67.55089,1.3818176,7745.7773,16.9194,-0.23799706,-0.15293509
25,2024-09-17 07:00:00,15.786454,0.014915933,69.68466,1.4377861,7741.1406,15.976509,-0.30721378,-0.016747296
26,2024-09-17 08:00:00,14.988714,0.014674752,71.627945,1.4794303,7736.093,15.165389,-0.35765243,0.094171286
27,2024-09-17 09:00:00,14.364969,0.014484835,73.24728,1.503658,7730.6875,14.540544,-0.38582504,0.17280197
28,2024-09-17 10:00:00,13.95619,0.014354791,74.43326,1.509003,7724.9443,14.142332,-0.38999152,0.21444666
29,2024-09-17 11:00:00,13.789033,0.014288141,75.102745,1.4958359,7718.8354,13.996514,-0.37018645,0.21684694
30,2024-09-17 12:00:00,13.876087,0.014282942,75.19991,1.466241,7712.297,14.114629,-0.32808673,0.1801393
31,2024-09-17 13:00:00,14.2156,0.0143314395,74.69558,1.4236019,7705.239,14.493949,-0.26677793,0.106594324
32,2024-09-17 14:00:00,14.794134,0.014423191,73.59675,1.3722692,7697.6416,15.119332,-0.19048393,0.0009354353
33,2024-09-17 15:00:00,15.583692,0.014544298,71.94269,1.3169171,7689.529,15.960983,-0.104290724,-0.13027138
34,2024-09-17 16:00:00,16.542746,0.014679337,69.81009,1.2620413,7681.021,16.974897,-0.013822675,-0.27871192
35,2024-09-17 17:00:00,17.61676,0.014812918,67.31362,1.211541,7672.336,18.103283,0.075074434,-0.43470007
36,2024-09-17 18:00:00,18.73997,0.014931138,64.60257,1.1684431,7663.7705,19.276466,0.15666091,-0.5877168
37,2024-09-17 19:00:00,19.838978,0.015022733,61.852592,1.1348133,7655.6494,20.416769,0.2256335,-0.72710997
38,2024-09-17 20:00:00,20.838072,0.015079739,59.25261,1.111869,7648.27,21.444305,0.27743137,-0.8428879
39,2024-09-17 21:00:00,21.66561,0.015097485,56.988064,1.1002419,7641.8467,22.284113,0.3084998,-0.92651623
40,2024-09-17 22:00:00,22.26079,0.015074056,55.222984,1.1002892,7636.465,22.873432,0.3165108,-0.9716188
41,2024-09-17 23:00:00,22.579536,0.015009358,54.08354,1.1123139,7632.069,23.16809,0.30052435,-0.9745136
42,2024-09-18 00:00:00,22.598843,0.014904382,53.645447,1.1365818,7628.4736,23.147045,0.26111293,-0.9345465
43,2024-09-18 01:00:00,22.209206,0.014531561,54.14848,1.2031956,7624.386,22.723766,0.19721723,-0.83235
44,2024-09-18 02:00:00,21.55676,0.01410879,55.234215,1.2722762,7621.302,22.024342,0.12096381,-0.7031218
45,2024-09-18 03:00:00,20.703495,0.013699326,56.810165,1.3410623,7618.9663,21.113655,0.03444338,-0.55501765
46,2024-09-18 04:00:00,19.708101,0.013310378,58.77771,1.4097443,7616.7925,20.058765,-0.05753362,-0.3952322
47,2024-09-18 05:00:00,18.636673,0.0129421335,61.002743,1.4767702,7614.402,18.933088,-0.14866805,-0.23279333
