Timestamp,Temperature,Humidity,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos,Precipitation_log,ts_unix,ts_norm,hour_sin,hour_cos,doy_sin,doy_cos,dow_sin,dow_cos,delta_t,delta_t_norm
2024-06-12 02:00:00,14.606,35.283,3.512,8530.667,13.37,-0.49242356010346694,-0.8703556959398998,0.0,1718157600,-1.3168275001362342,0.49999999999999994,0.8660254037844387,0.31174433266673146,-0.950166022887671,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 02:30:00,13.461,39.3,2.877,8544.0,12.537,-0.4226182617406993,-0.90630778703665,0.0,1718159400,-1.3161671052013615,0.6087614290087207,0.7933533402912352,0.3114035552524329,-0.9502777624337765,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 03:00:00,12.585,39.75,3.402,8530.667,11.675,-0.41203922092428913,-0.9111661102236545,0.0,1718161200,-1.3155067102664886,0.7071067811865475,0.7071067811865476,0.3110627377869739,-0.9503893797599341,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 03:30:00,11.682,44.217,2.547,8525.333,11.028,-0.16792162720756834,-0.9858003485067158,0.0,1718163000,-1.314846315331616,0.7933533402912352,0.6087614290087207,0.31072188031418996,-0.9505008748517879,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 04:00:00,11.164,44.4,3.465,8541.333,10.6,-0.7029851950575151,-0.7112044822200908,0.0,1718164800,-1.3141859203967432,0.8660254037844386,0.5000000000000001,0.3103809828779204,-0.950612247694998,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 04:30:00,10.669,46.65,2.15,8530.667,10.128,-0.42787850664268773,-0.9038362592600628,0.0,1718166600,-1.3135255254618705,0.9238795325112867,0.38268343236508984,0.3100400455220085,-0.9507234982752404,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 05:00:00,9.984,50.017,1.498,8538.667,9.663,-0.0726637731087191,-0.9973564939767549,0.0,1718168400,-1.3128651305269976,0.9659258262890683,0.25881904510252074,0.30969906829030514,-0.9508346265782063,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 05:30:00,9.359,52.917,0.985,8520.0,9.265,0.3283226704791825,-0.9445656271797201,0.0,1718170200,-1.312204735592125,0.9914448613738104,0.1305261922200517,0.30935805122666515,-0.9509456325896029,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 06:00:00,9.153,54.933,0.755,8538.667,9.048,-0.7273776339527543,-0.6862374061688076,0.0,1718172000,-1.3115443406572522,1.0,6.123233995736766e-17,0.3090169943749475,-0.9510565162951535,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 06:30:00,8.972,56.9,1.593,8560.0,8.835,-0.8174767639621618,-0.5759615789112603,0.0,1718173800,-1.3108839457223795,0.9914448613738104,-0.1305261922200516,0.3086758977790173,-0.9511672776805968,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 07:00:00,8.806,57.383,0.825,8565.333,8.663,-0.9858003485067159,-0.1679216272075678,0.0,1718175600,-1.3102235507875069,0.9659258262890683,-0.25881904510252063,0.30833476148274597,-0.9512779167316868,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 07:30:00,8.347,60.0,1.007,8536.0,8.337,-0.5735764363510462,-0.8191520442889918,0.0,1718177400,-1.309563155852634,0.9238795325112868,-0.3826834323650895,0.30799358553000783,-0.951388433434194,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 08:00:00,8.105,61.183,2.182,8538.667,8.067,-0.6626200482157375,-0.7489557207890021,0.0,1718179200,-1.3089027609177613,0.8660254037844387,-0.4999999999999998,0.30765236996468276,-0.9514988277739043,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 08:30:00,8.024,61.3,2.39,8544.0,7.933,-0.8241261886220157,-0.5664062369248328,0.0,1718181000,-1.3082423659828886,0.7933533402912352,-0.6087614290087207,0.30731111483065715,-0.9516090997366191,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 09:00:00,7.842,61.7,1.498,8538.667,7.725,-0.6202309277124114,-0.784419273290121,0.0,1718182800,-1.3075819710480159,0.7071067811865476,-0.7071067811865475,0.3069698201718201,-0.9517192493081562,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 09:30:00,7.281,63.917,0.743,8541.333,7.318,0.9436104324265063,-0.3310579281875932,0.0,1718184600,-1.3069215761131432,0.6087614290087209,-0.793353340291235,0.30662848603206866,-0.9518292764743483,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 10:00:00,6.15,68.75,0.692,8530.667,6.61,0.9999619230641713,0.008726535498373897,0.0,1718186400,-1.3062611811782703,0.49999999999999994,-0.8660254037844387,0.3062871124553034,-0.9519391812210444,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 10:30:00,5.291,72.367,0.875,8544.0,5.955,0.4771587602596084,0.8788171126619654,0.0,1718188200,-1.3056007862433976,0.3826834323650899,-0.9238795325112867,0.30594569948542877,-0.9520489635341093,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 11:00:00,4.401,75.117,1.467,8549.333,5.423,0.040707280502368035,-0.9991711151319885,0.0,1718190000,-1.304940391308525,0.258819045102521,-0.9659258262890682,0.3056042471663569,-0.952158623399423,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 11:30:00,3.959,76.667,1.607,8562.667,5.098,-0.6755902076156601,-0.7372773368101241,0.0,1718191800,-1.3042799963736522,0.130526192220052,-0.9914448613738104,0.3052627555420037,-0.9522681608028817,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 12:00:00,3.5,78.533,1.853,8552.0,4.732,-0.9737102620436184,0.22779009107278575,0.0,1718193600,-1.3036196014387793,1.2246467991473532e-16,-1.0,0.3049212246562893,-0.9523775757303974,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 12:30:00,3.427,80.367,1.423,8544.0,4.64,-0.9910602058448488,0.13341539787732903,0.0,1718195400,-1.3029592065039066,-0.13052619222005177,-0.9914448613738104,0.30457965455313957,-0.9524868681678977,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
