Step,Temperature,Humidity,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos,Precipitation_log,hour_sin1,hour_cos1,hour_sin2,hour_cos2,hour_sin3,hour_cos3,doy_sin,doy_cos
1,9.117663,82.22582,2.1619976,7879.1724,9.892213,-0.6249461,0.59218323,0.0130936755,-0.8660254037844384,-0.5000000000000004,0.8660254037844392,-0.4999999999999992,-4.898587196589413e-16,1.0,0.8452490573530633,-0.5343725582809786
2,9.910618,76.675674,2.0378668,7827.9854,10.566672,-0.5421096,0.3147422,0.010684597,-0.9659258262890683,-0.25881904510252063,0.4999999999999998,-0.8660254037844388,0.7071067811865466,0.7071067811865486,0.8452490573530633,-0.5343725582809786
3,10.91546,71.63136,2.0544894,7774.1743,11.663975,-0.47794354,0.095941305,0.0089374175,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,1.0,5.51091059616309e-16,0.8452490573530633,-0.5343725582809786
4,11.331081,67.812584,2.143976,7746.35,12.022607,-0.44286764,-0.026097119,0.00671393,-0.9659258262890684,0.2588190451025203,-0.49999999999999917,-0.8660254037844392,0.7071067811865486,-0.7071067811865465,0.8452490573530633,-0.5343725582809786
5,11.306889,65.58407,2.2329755,7736.405,11.930075,-0.4222548,-0.08291143,0.0049906145,-0.8660254037844386,0.5000000000000001,-0.8660254037844387,-0.49999999999999983,2.388680238973927e-15,-1.0,0.8452490573530633,-0.5343725582809786
6,10.996288,64.79856,2.257081,7737.986,11.530111,-0.40251988,-0.108175576,0.0039492757,-0.7071067811865477,0.7071067811865474,-1.0,-4.286263797015736e-16,-0.7071067811865477,-0.7071067811865474,0.8452490573530633,-0.5343725582809786
7,10.513996,64.40219,2.162543,7731.3916,11.00643,-0.38406122,-0.16224831,0.0038512463,-0.5000000000000004,0.8660254037844384,-0.8660254037844392,0.4999999999999991,-1.0,1.1028010998692062e-15,0.8452490573530633,-0.5343725582809786
8,9.812753,64.25661,1.9817547,7720.921,10.136274,-0.36527973,-0.22829437,0.0037683242,-0.25881904510252157,0.9659258262890681,-0.5000000000000014,0.8660254037844378,-0.7071067811865487,0.7071067811865464,0.8452490573530633,-0.5343725582809786
9,9.005894,64.226105,1.7809216,7700.927,9.103437,-0.35516822,-0.28506982,0.0037121924,0.0,1.0,0.0,1.0,0.0,1.0,0.8359254794186372,-0.548842958284719
10,8.197888,64.36865,1.6177801,7669.8506,8.103463,-0.364565,-0.30540347,0.0038323486,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7071067811865475,0.7071067811865476,0.8359254794186372,-0.548842958284719
11,7.4275227,64.855194,1.5318997,7631.571,7.2317843,-0.3967288,-0.2727766,0.004215286,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8359254794186372,-0.548842958284719
12,6.7469716,65.763435,1.5208929,7592.8955,6.551875,-0.44399035,-0.19478458,0.004903834,0.7071067811865475,0.7071067811865476,1.0,6.123233995736766e-17,0.7071067811865476,-0.7071067811865475,0.8359254794186372,-0.548842958284719
13,6.1768956,66.90936,1.56324,7561.1997,6.0441265,-0.49195462,-0.102241635,0.005813304,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.8359254794186372,-0.548842958284719
14,5.7928457,67.98134,1.5954802,7538.539,5.6993995,-0.52287626,-0.035217047,0.0067469548,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,-0.7071067811865471,-0.7071067811865479,0.8359254794186372,-0.548842958284719
15,5.6542897,68.6879,1.5921912,7522.3496,5.523079,-0.52347946,-0.01731658,0.0075662294,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0.8359254794186372,-0.548842958284719
16,5.8673086,69.025246,1.534023,7507.4214,5.621802,-0.48870134,-0.04527831,0.008297675,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,-0.7071067811865477,0.7071067811865474,0.8359254794186372,-0.548842958284719
17,6.26298,68.68025,1.4393761,7486.54,5.9438686,-0.44037652,-0.11908859,0.009135989,0.8660254037844387,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-2.4492935982947064e-16,1.0,0.8359254794186372,-0.548842958284719
18,6.8013396,68.14184,1.347965,7461.3804,6.4908557,-0.3889237,-0.19924629,0.010175025,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0.7071067811865474,0.7071067811865477,0.8359254794186372,-0.548842958284719
19,7.559981,68.380684,1.2923813,7439.206,7.3076143,-0.3210039,-0.23068607,0.011521994,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,1.0,1.1943401194869635e-15,0.8359254794186372,-0.548842958284719
20,8.247293,68.898285,1.255242,7419.527,8.184687,-0.25105017,-0.24874932,0.013267173,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,0.7071067811865471,-0.7071067811865479,0.8359254794186372,-0.548842958284719
21,8.971575,69.70677,1.2337251,7405.7695,9.167158,-0.18566334,-0.24971998,0.014574713,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,3.6739403974420594e-16,-1.0,0.8359254794186372,-0.548842958284719
22,9.691058,69.90001,1.1878247,7396.388,10.152058,-0.11527836,-0.28676915,0.015512129,-0.2588190451025208,-0.9659258262890683,0.5,0.8660254037844386,-0.7071067811865466,-0.7071067811865485,0.8359254794186372,-0.548842958284719
23,10.532282,68.984314,1.1168947,7387.6777,11.214267,-0.03329301,-0.37971008,0.015787164,-0.4999999999999997,-0.8660254037844388,0.8660254037844384,0.5000000000000006,-1.0,-4.286263797015736e-16,0.8359254794186372,-0.548842958284719
