Timestamp,Temperature,Humidity,Precipitation,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos,hour_sin,hour_cos
2024-09-18 01:20:12,9.059776,87.12315,0.020832088,0.42375594,8212.396,7.880625,-0.15505672,-0.051065207,0,0
2024-09-18 02:20:12,9.089925,87.293465,0.02094679,0.39382353,8220.508,7.9005985,-0.14915562,-0.062123,0,0
2024-09-18 03:20:12,9.118907,87.463036,0.02105985,0.364736,8228.576,7.9210043,-0.14335537,-0.072775066,0,0
2024-09-18 04:20:12,9.146717,87.631836,0.02117125,0.33648062,8236.595,7.9417768,-0.13765836,-0.08302641,0,0
2024-09-18 05:20:12,9.173354,87.79981,0.021281023,0.30904394,8244.56,7.9628596,-0.13206649,-0.09288311,0,0
2024-09-18 06:20:12,9.19882,87.96693,0.02138916,0.2824109,8252.466,7.984194,-0.12658107,-0.102351665,0,0
2024-09-18 07:20:12,9.223121,88.13315,0.021495674,0.25656536,8260.308,8.00572,-0.12120366,-0.11143994,0,0
2024-09-18 08:20:12,9.246263,88.29841,0.021600593,0.23149012,8268.081,8.027381,-0.11593568,-0.12015641,0,0
2024-09-18 09:20:12,9.268261,88.462685,0.021703959,0.20716766,8275.781,8.049125,-0.11077809,-0.12851,0,0
2024-09-18 10:20:12,9.289128,88.62591,0.021805767,0.1835789,8283.405,8.070899,-0.10573149,-0.13651031,0,0
2024-09-18 11:20:12,9.308886,88.78806,0.021906044,0.16070557,8290.949,8.092656,-0.1007967,-0.14416754,0,0
2024-09-18 12:20:12,9.327551,88.94909,0.022004828,0.13852753,8298.409,8.114348,-0.09597397,-0.151492,0,0
2024-09-18 13:20:12,9.345144,89.10897,0.02210214,0.117025115,8305.782,8.135934,-0.09126353,-0.15849447,0,0
2024-09-18 14:20:12,9.361691,89.26762,0.022198,0.09617842,8313.065,8.157369,-0.08666539,-0.16518581,0,0
2024-09-18 15:20:12,9.377217,89.42503,0.022292465,0.07596794,8320.256,8.178617,-0.08217931,-0.17157698,0,0
